,id,preprocessed
69,73,"['geese', 'duck', 'fatty', 'liver']"
70,74,"['meat', 'offal', 'poultry', 'duck', 'guinea', 'fowl', 'piece']"
71,75,"['meat', 'offal', 'poultry', 'duck', 'guinea', 'fowl', 'piece']"
72,76,"['meat', 'offal', 'poultry', 'duck', 'guinea', 'fowl', 'poultry', 'cut', 'offal', 'liver']"
73,77,"['meat', 'offal', 'poultry', 'duck', 'guinea', 'fowl']"
74,78,"['meat', 'offal', 'fowl', 'poultry', 'cut', 'offal', 'liver']"
75,79,"['meat', 'offal', 'turkey', 'poultry', 'cut', 'offal', 'liver']"
76,80,"['meat', 'offal', 'duck', 'guinea', 'fowl', 'poultry', 'cut', 'offal', 'liver']"
77,81,"['meat', 'offal', 'duck', 'cut', 'offal', 'liver']"
78,82,"['meat', 'offal', 'duck', 'cut', 'offal', 'liver']"
79,83,"['meat', 'offal', 'piece']"
80,84,"['meat', 'offal', 'piece']"
81,85,"['meat', 'offal', 'cut', 'offal', 'liver']"
82,86,"['meat', 'offal', 'cut', 'offal', 'liver']"
83,87,"['meat', 'offal', 'guinea', 'fowl']"
84,89,"['meat', 'meat', 'offal', 'whale', 'dolphin', 'porpoise', 'mammal', 'order', 'manatee', 'dugong', 'mammal', 'order']"
85,91,"['meat', 'meat', 'offal', 'chapter']"
86,92,"['fat', 'meat', 'poultry', 'fat', 'brine']"
87,93,"['fat', 'meat', 'brine']"
88,94,"['poultry', 'fat', 'brine']"
89,95,"['meat', 'shoulder', 'cut', 'bone', 'brine']"
90,96,"['meat', 'belly', 'cut', 'brine']"
91,97,"['meat', 'swine', 'brine', 'item']"
92,98,"['meat', 'animal', 'brine']"
93,99,"['meat', 'meat', 'offal', 'brine', 'flour', 'meal', 'meat', 'meat', 'offal', 'primate', 'whale', 'dolphin', 'porpoise', 'manatee', 'dugong', 'reptile', 'snake', 'turtle']"
94,100,"['fish', 'trout', 'trutta', 'clarki', 'gilae']"
95,101,"['fish', 'eel']"
96,102,"['fish', 'carp']"
97,103,"['fish', 'tunas', 'thynnus']"
98,104,"['fish', 'bluefin']"
99,105,"['fish', 'trout', 'trutta', 'clarki', 'gilae', 'fillet', 'liver', 'roe', 'fish', 'meat']"
100,106,"['fish', 'salmon', 'salar', 'fillet', 'liver', 'roe', 'fish', 'meat']"
101,107,"['fish', 'salmon', 'nerka', 'gorbuscha', 'kisutch', 'fillet', 'liver', 'fish', 'meat']"
102,108,"['fish', 'salmon', 'salar', 'salmon', 'fillet', 'liver', 'fish', 'meat']"
103,109,"['fish', 'salmonidae', 'item', 'fillet', 'liver', 'roe', 'fish', 'meat']"
104,110,"['fish', 'hippoglossoide', 'fillet', 'liver', 'roe', 'fish', 'meat']"
105,111,"['fish', 'plaice', 'pleuronecte', 'fillet', 'liver', 'roe', 'fish', 'meat']"
106,112,"['fish', 'fillet', 'liver', 'roe', 'fish', 'meat']"
107,113,"['fish', 'turbot', 'fillet', 'liver', 'fish', 'meat']"
108,114,"['fish', 'fish', 'item', 'fillet', 'liver', 'roe', 'fish', 'meat']"
109,115,"['fish', 'albacore', 'tuna', 'fillet', 'liver', 'roe', 'fish', 'meat']"
110,116,"['fish', 'fillet', 'liver', 'roe', 'fish', 'meat']"
111,117,"['fish', 'stripe', 'bonito', 'fillet', 'liver', 'roe', 'fish', 'meat']"
112,118,"['fish', 'bigeye', 'tunas', 'fillet', 'liver', 'roe', 'fish', 'meat']"
113,119,"['fish', 'tunas', 'thynnus', 'fillet', 'liver', 'roe', 'fish', 'meat']"
114,120,"['fish', 'fillet', 'liver', 'roe', 'fish', 'meat']"
115,121,"['fish', 'tuna', 'item', 'fillet', 'liver', 'roe', 'fish', 'meat']"
116,122,"['fish', 'herring', 'clupea', 'pallasii', 'fillet', 'liver', 'roe', 'fish', 'meat']"
117,123,"['fish', 'herring', 'harengus', 'pallasii', 'fillet', 'liver', 'fish', 'meat']"
118,124,"['fish', 'anchovy', 'fillet', 'liver', 'fish', 'meat']"
119,125,"['fish', 'sardine', 'brisling', 'sprat', 'sprattus', 'fillet', 'liver', 'fish', 'meat']"
120,126,"['fish', 'scombrus', 'australasicus', 'japonicus', 'fillet', 'liver', 'fish', 'meat']"
121,127,"['fish', 'jack', 'horse', 'mackerel', 'fillet', 'liver', 'fish', 'meat']"
122,128,"['fish', 'canadum', 'fillet', 'liver', 'fish', 'meat']"
123,129,"['fish', 'swordfish', 'fillet', 'liver', 'fish', 'meat']"
124,130,"['fish', 'macrocephalus', 'fillet', 'liver', 'roe', 'fish', 'meat']"
125,131,"['fish', 'haddock', 'fillet', 'liver', 'fish', 'meat']"
126,132,"['fish', 'coalfish', 'fillet', 'liver', 'fish', 'meat']"
127,133,"['fish', 'hake', 'fillet', 'liver', 'fish', 'meat']"
128,134,"['fish', 'pollack', 'chalcogramma', 'fillet', 'liver', 'fish', 'meat']"
129,135,"['fish', 'whiting', 'poutassou', 'fillet', 'liver', 'fish', 'meat']"
130,136,"['fish', 'sardine', 'brisling', 'sprat', 'sprattus', 'sprattus', 'fillet', 'liver', 'roe', 'fish', 'meat']"
131,137,"['fish', 'haddock', 'fillet', 'liver', 'roe', 'fish', 'meat']"
132,138,"['fish', 'fillet', 'liver', 'roe', 'fish', 'meat']"
133,139,"['fish', 'fillet', 'liver', 'roe', 'fish', 'meat']"
134,140,"['fish', 'shark', 'fillet', 'liver', 'roe', 'fish', 'meat']"
135,141,"['fish', 'eel', 'fillet', 'liver', 'roe', 'fish', 'meat']"
136,142,"['fish', 'swordfish', 'fillet', 'liver', 'roe', 'fish', 'meat']"
137,143,"['fish', 'fillet', 'liver', 'roe', 'fish', 'meat']"
138,144,"['fish', 'tilapia', 'fillet', 'liver', 'fish', 'meat']"
139,145,"['fish', 'catfish', 'spp', 'fillet', 'liver', 'fish', 'meat']"
140,146,"['fish', 'carp', 'carpio', 'carassius', 'idellus', 'piceus', 'fillet', 'liver', 'fish', 'meat']"
141,147,"['fish', 'eel', 'fillet', 'liver', 'fish', 'meat']"
142,148,"['fish', 'shark', 'fillet', 'liver', 'fish', 'meat']"
143,149,"['fish', 'ray', 'skate', 'fillet', 'liver', 'fish', 'meat']"
144,150,"['fish', 'fillet', 'liver', 'fish', 'meat']"
145,151,"['fish', 'seabass', 'fillet', 'liver', 'fish', 'meat']"
146,152,"['fish', 'seabream', 'fillet', 'liver', 'fish', 'meat']"
147,153,"['fish', 'nerka', 'fillet', 'liver', 'roe', 'fish', 'meat']"
148,154,"['fish', 'salmon', 'kisutch', 'rhodurus', 'sockeye', 'salmon', 'fillet', 'liver', 'fish', 'meat']"
149,155,"['fish', 'salmon', 'salar', 'salmon', 'fillet', 'liver', 'fish', 'meat']"
150,156,"['fish', 'trout', 'trutta', 'clarki', 'gilae', 'apache', 'chrysogaster', 'fillet', 'liver', 'fish', 'meat']"
151,157,"['fish', 'salmon', 'fillet', 'liver', 'roe', 'fish', 'meat']"
152,158,"['fish', 'trout', 'trutta', 'clarki', 'gilae', 'fillet', 'liver', 'roe', 'fish', 'meat']"
153,159,"['fish', 'tilapia', 'fillet', 'liver', 'fish', 'meat']"
154,160,"['fish', 'catfish', 'spp', 'fillet', 'liver', 'fish', 'meat']"
155,161,"['fish', 'carp', 'carpio', 'carassius', 'idellus', 'piceus', 'fillet', 'liver', 'fish', 'meat']"
156,162,"['fish', 'eel', 'fillet', 'liver', 'fish', 'meat']"
157,163,"['fish', 'salmonidae', 'item', 'fillet', 'liver', 'roe', 'fish', 'meat']"
158,164,"['fish', 'hippoglossoide', 'fillet', 'liver', 'roe', 'fish', 'meat']"
159,165,"['fish', 'plaice', 'pleuronecte', 'fillet', 'liver', 'roe', 'fish', 'meat']"
160,166,"['fish', 'fillet', 'liver', 'roe', 'fish', 'meat']"
161,167,"['fish', 'turbot', 'fillet', 'liver', 'fish', 'meat']"
162,168,"['fish', 'fish', 'item', 'fillet', 'liver', 'roe', 'fish', 'meat']"
163,169,"['fish', 'albacore', 'tuna', 'fillet', 'liver', 'roe', 'fish', 'meat']"
164,170,"['fish', 'fillet', 'liver', 'roe', 'fish', 'meat']"
165,171,"['fish', 'stripe', 'bonito', 'fillet', 'liver', 'roe', 'fish', 'meat']"
166,172,"['fish', 'bigeye', 'tunas', 'fillet', 'liver', 'roe', 'fish', 'meat']"
167,173,"['fish', 'tuna', 'thynnus', 'fillet', 'liver', 'roe', 'fish', 'meat']"
168,174,"['fish', 'item', 'fillet', 'liver', 'roe', 'fish', 'meat']"
169,175,"['fish', 'tuna', 'item', 'fillet', 'liver', 'roe', 'fish', 'meat']"
170,176,"['fish', 'herring', 'harengus', 'pallasii', 'fillet', 'liver', 'roe', 'fish', 'meat']"
171,177,"['fish', 'macrocephalus', 'fillet', 'liver', 'roe', 'fish', 'meat']"
172,178,"['fish', 'sardine', 'brisling', 'sprat', 'sprattus', 'fillet', 'liver', 'fish', 'meat']"
173,179,"['fish', 'scombrus', 'australasicus', 'japonicus', 'fillet', 'liver', 'fish', 'meat']"
174,180,"['fish', 'jack', 'horse', 'mackerel', 'fillet', 'liver', 'fish', 'meat']"
175,181,"['fish', 'canadum', 'fillet', 'liver', 'fish', 'meat']"
176,182,"['fish', 'swordfish', 'fillet', 'liver', 'fish', 'meat']"
177,183,"['fish', 'swordfish', 'fillet', 'liver', 'roe', 'fish', 'meat']"
178,184,"['fish', 'fillet', 'liver', 'roe', 'fish', 'meat']"
179,185,"['fish', 'cod', 'macrocephalus', 'fillet', 'liver', 'fish', 'meat']"
180,186,"['fish', 'haddock', 'fillet', 'liver', 'fish', 'meat']"
181,187,"['fish', 'coalfish', 'fillet', 'liver', 'fish', 'meat']"
182,188,"['fish', 'hake', 'fillet', 'liver', 'fish', 'meat']"
183,189,"['fish', 'pollack', 'fillet', 'liver', 'fish', 'meat']"
184,190,"['fish', 'whiting', 'poutassou', 'fillet', 'liver', 'fish', 'meat']"
185,191,"['fish', 'sardine', 'brisling', 'sprat', 'sprattus', 'sprattus', 'fillet', 'liver', 'roe', 'fish', 'meat']"
186,192,"['fish', 'haddock', 'fillet', 'liver', 'roe', 'fish', 'meat']"
187,193,"['fish', 'fillet', 'liver', 'roe', 'fish', 'meat']"
188,194,"['fish', 'fillet', 'liver', 'roe', 'fish', 'meat']"
189,195,"['fish', 'shark', 'fillet', 'liver', 'roe', 'fish', 'meat']"
190,196,"['fish', 'eel', 'fillet', 'liver', 'roe', 'fish', 'meat']"
191,197,"['fish', 'sea', 'bass', 'dicentrarchus', 'labrax', 'dicentrarchus', 'punctatus', 'fillet', 'liver', 'roe', 'fish', 'meat']"
192,198,"['fish', 'hake', 'fillet', 'liver', 'roe', 'fish', 'meat']"
193,199,"['fish', 'shark', 'fillet', 'liver', 'fish', 'meat']"
194,200,"['fish', 'ray', 'skate', 'fillet', 'liver', 'fish', 'meat']"
195,201,"['fish', 'fillet', 'liver', 'fish', 'meat']"
196,202,"['fish', 'seabass', 'fillet', 'liver', 'fish', 'meat']"
197,203,"['fish', 'swordfish', 'fillet', 'fish', 'meat']"
198,204,"['fish', 'fillet', 'fish', 'meat']"
199,205,"['fish', 'fillet', 'fish', 'meat', 'swordfish']"
200,206,"['fish', 'swordfish', 'fillet']"
201,207,"['fish', 'fillet']"
202,208,"['fish', 'fillet', 'swordfish']"
203,209,"['fish', 'fillet', 'tilapia']"
204,210,"['fish', 'fillet', 'catfish', 'spp']"
205,211,"['fish', 'fillet', 'perch']"
206,212,"['fish', 'fillet', 'salmon', 'nerka', 'gorbuscha', 'kisutch', 'rhoduru', 'salar']"
207,213,"['fish', 'fillet', 'trout', 'trutta', 'clarki', 'gilae', 'apache', 'chrysogaster']"
208,214,"['fish', 'fillet', 'fish']"
209,215,"['fish', 'fillet', 'swordfish']"
210,216,"['fish', 'fillet']"
211,217,"['fish', 'meat', 'fillet', 'tilapia', 'catfish', 'carp', 'eel', 'perch']"
212,218,"['fish', 'meat', 'fillet', 'salmonidae']"
213,219,"['fish', 'meat', 'fillet', 'swordfish']"
214,220,"['fish', 'meat', 'fillet']"
215,221,"['fish', 'fillet', 'tilapia']"
216,222,"['fish', 'fillet', 'catfish', 'spp']"
217,223,"['fish', 'fillet']"
218,224,"['fish', 'fillet', 'cod', 'macrocephalus']"
219,225,"['fish', 'fillet', 'haddock', 'aeglefinus']"
220,226,"['fish', 'fillet', 'coalfish', 'viren']"
221,227,"['fish', 'fillet', 'hake']"
222,228,"['fish', 'fillet', 'pollack', 'chalcogramma']"
223,229,"['fish', 'fillet', 'salmon', 'nerka', 'gorbuscha', 'kisutch', 'salar']"
224,230,"['fish', 'fillet', 'trout', 'trutta', 'clarki', 'gilae', 'apache', 'chrysogaster']"
225,231,"['fish', 'fillet', 'fish']"
226,232,"['fish', 'fillet', 'herring', 'harengus', 'pallasii']"
227,233,"['fish', 'fillet', 'tuna', 'genus', 'stripe', 'bonito', 'pelamis']"
228,234,"['fish', 'swordfish', 'fillet']"
229,235,"['fish', 'meat', 'fillet', 'chalcogramma']"
230,236,"['fish', 'fillet', 'brine']"
231,237,"['fish', 'fillet', 'brine', 'tilapia', 'catfish', 'carp', 'eel', 'perch']"
232,238,"['fish', 'salmon', 'salar', 'fillet', 'smoking', 'process']"
233,239,"['fish', 'herring', 'clupea', 'pallasii', 'fillet', 'smoking', 'process']"
234,240,"['fish', 'smoking', 'trout', 'trutta', 'gilae', 'chrysogaster', 'fillet', 'exclude', 'fish', 'offal']"
235,241,"['fish', 'smoking', 'tilapias', 'catfish', 'carp', 'eel', 'perch', 'snakehead', 'fillet', 'exclude', 'fish', 'offal']"
236,243,"['fish', 'macrocephalus']"
237,244,"['fish', 'herring', 'clupea', 'clupea', 'pallasii', 'brine']"
238,245,"['fish', 'macrocephalus', 'brine']"
239,246,"['fish', 'anchovy', 'brine']"
240,247,"['fish', 'brine', 'fish', 'offal', 'tilapias', 'catfish', 'carp', 'eel', 'perch']"
241,248,"['rock', 'lobster', 'sea', 'crawfish', 'shell', 'steaming', 'water']"
242,249,"['lobster', 'shell', 'steaming', 'water']"
243,250,"['crustacean', 'shrimp', 'prawn', 'shell', 'steaming', 'water']"
244,251,"['crab', 'shell', 'steaming', 'water']"
245,252,"['crustacean', 'lobster', 'nephrop', 'shell', 'smoking', 'steaming', 'water']"
246,253,"['crustacean', 'water', 'shrimp', 'prawn', 'crangon', 'shell', 'smoking', 'steaming', 'water']"
247,254,"['crustacean', 'shrimp', 'prawn', 'water', 'variety', 'shell', 'smoking', 'steaming', 'water']"
248,255,"['rock', 'lobster', 'sea', 'crawfish', 'shell', 'steaming', 'water']"
249,256,"['lobster', 'shell', 'steaming', 'water']"
250,257,"['crustacean', 'shrimp', 'prawn', 'shell', 'steaming', 'water']"
251,258,"['crab', 'shell', 'steaming', 'water']"
252,259,"['crustacean', 'lobster', 'nephrop', 'shell', 'smoking', 'steaming', 'water', 'flour', 'meal', 'pellet']"
253,260,"['crustacean', 'water', 'shrimp', 'prawn', 'crangon', 'shell', 'smoking', 'steaming', 'water', 'flour', 'meal', 'pellet']"
254,261,"['crustacean', 'shrimp', 'prawn', 'water', 'variety', 'shell', 'smoking', 'steaming', 'water', 'flour', 'meal', 'pellet']"
255,262,"['mollusc', 'oyster', 'brine', 'shell']"
256,263,"['mollusc', 'oyster', 'shell']"
257,264,"['mollusc', 'oyster', 'shell', 'brine', 'smoking', 'process']"
258,265,"['mollusc', 'scallop', 'queen', 'scallop', 'genera', 'pecten', 'shell']"
259,266,"['mollusc', 'scallop', 'queen', 'scallop', 'genera', 'pecten', 'brine', 'shell']"
260,267,"['mollusc', 'mussel', 'perna', 'shell']"
261,268,"['mollusc', 'mussel', 'perna', 'brine', 'shell']"
262,269,"['mollusc', 'fish', 'squid', 'shell']"
263,270,"['mollusc', 'fish', 'squid', 'brine', 'shell']"
264,271,['mollusc']
265,272,"['mollusc', 'brine']"
266,274,"['mollusc', 'clam', 'cockle', 'ark', 'shell', 'family', 'shell']"
267,275,"['mollusc', 'clam', 'cockle', 'ark', 'shell', 'shell']"
268,276,"['mollusc', 'abalone', 'shell']"
269,277,"['mollusc', 'abalone', 'shell', 'brine', 'smoking', 'process']"
270,278,"['invertebrate', 'sea', 'cucumber', 'japonicus']"
271,279,"['invertebrate', 'sea', 'cucumber', 'japonicus', 'brine', 'smoking', 'process']"
272,280,"['invertebrate', 'sea', 'urchin', 'esculentus']"
273,281,"['invertebrate', 'sea', 'urchin', 'esculentus', 'brine', 'smoking', 'process']"
274,282,"['invertebrate', 'brine', 'smoking']"
275,283,"['dairy', 'milk', 'cream', 'sugar', 'sweetening', 'matter', 'content', 'weight']"
276,284,"['dairy', 'milk', 'cream', 'sugar', 'sweetening', 'matter', 'content', 'weight']"
277,285,"['dairy', 'milk', 'cream', 'sugar', 'sweetening', 'matter', 'content', 'weight']"
278,286,"['dairy', 'milk', 'cream', 'sugar', 'sweetening', 'matter', 'content', 'weight']"
279,287,"['dairy', 'milk', 'cream', 'sugar', 'sweetening', 'matter', 'content', 'weight']"
280,288,"['dairy', 'milk', 'cream', 'sugar', 'sweetening', 'matter', 'powder', 'granule', 'form', 'content', 'weight']"
281,289,"['dairy', 'milk', 'cream', 'sugar', 'sweetening', 'matter', 'powder', 'granule', 'form', 'content', 'weight']"
282,290,"['dairy', 'milk', 'cream', 'sugar', 'sweetening', 'matter', 'powder', 'granule', 'form', 'content', 'weight']"
283,291,"['dairy', 'milk', 'cream', 'sugar', 'sweetening', 'matter', 'powder', 'granule', 'form']"
284,292,"['dairy', 'milk', 'cream', 'sugar', 'sweetening', 'matter', 'powder', 'granule', 'form']"
285,295,"['dairy', 'produce', 'sugar', 'matter']"
286,296,"['dairy', 'produce', 'milk', 'constituent', 'sugar', 'sweetening', 'matter', 'chapter']"
287,298,"['dairy', 'produce', 'dairy', 'spread']"
288,299,"['dairy', 'produce', 'fat', 'oil', 'milk', 'butter', 'dairy', 'spread']"
289,300,"['dairy', 'produce', 'cheese', 'cheese', 'curd']"
290,301,"['dairy', 'produce', 'cheese', 'kind']"
291,303,"['dairy', 'produce', 'cheese']"
292,304,"['dairy', 'produce', 'cheese']"
293,305,"['egg', 'bird', 'egg', 'shell']"
294,306,"['bird', 'egg', 'egg', 'incubation', 'fowl', 'specie', 'domesticus', 'hen']"
295,307,"['bird', 'egg', 'egg', 'incubation', 'fowl', 'specie', 'domesticus', 'hen']"
296,308,"['bird', 'egg', 'incubation', 'fowl', 'specie', 'domesticus', 'hen']"
297,309,"['bird', 'egg', 'incubation', 'fowl', 'specie', 'domesticus', 'hen']"
298,310,"['bird', 'egg']"
299,311,"['egg', 'bird', 'egg', 'yolk', 'sugar', 'matter']"
300,312,"['egg', 'bird', 'egg', 'yolk', 'steaming', 'water', 'sugar', 'matter']"
301,313,"['egg', 'bird', 'egg', 'yolk', 'sugar', 'matter']"
302,314,"['egg', 'bird', 'egg', 'yolk', 'water', 'sugar', 'matter']"
303,315,['natural']
304,316,"['product', 'chapter']"
305,317,"['product', 'hair', 'bristle', 'pig', 'hog', 'boar']"
306,318,"['product', 'badger', 'hair', 'brush', 'hair', 'waste', 'bristle', 'hair', 'horsehair']"
307,319,"['product', 'gut', 'bladder', 'stomach', 'animal', 'fish', 'piece']"
308,320,"['product', 'bovine', 'semen']"
309,321,"['product', 'fish', 'crustacean', 'mollusc', 'invertebrate', 'animal', 'chapter', 'consumption']"
310,322,"['product', 'chapter']"
311,323,"['plant', 'bulb', 'tuber', 'root', 'corm', 'crown', 'rhizome', 'dormant']"
312,324,"['plant', 'bulb', 'tuber', 'root', 'corm', 'crown', 'rhizome', 'growth', 'flower', 'plant', 'root']"
313,325,"['plant', 'cutting', 'slip']"
314,326,"['plant', 'rhododendron', 'azalea']"
315,327,"['plant', 'rose']"
316,328,['plant']
317,329,"['flower', 'flower', 'bud', 'kind', 'bouquet', 'purpose']"
318,330,"['flower', 'rose', 'flower', 'bud', 'kind', 'bouquet', 'purpose']"
319,331,"['flower', 'carnation', 'flower', 'bud', 'kind', 'bouquet', 'purpose']"
320,332,"['flower', 'orchid', 'flower', 'bud', 'kind', 'bouquet', 'purpose']"
321,333,"['flower', 'chrysanthemum', 'flower', 'bud', 'kind', 'bouquet', 'purpose']"
322,334,"['flower', 'lily', 'spp', 'flower', 'flower', 'bud', 'kind', 'bouquet', 'purpose']"
323,335,"['flower', 'flower', 'bud', 'kind', 'bouquet', 'purpose', 'rose', 'carnation', 'orchid', 'chrysanthemum']"
324,336,['flower']
325,337,"['vegetable', 'seed', 'potato']"
326,340,"['vegetable', 'onion', 'shallot']"
327,342,"['vegetable', 'leek', 'kind']"
328,343,"['vegetable', 'brassica', 'cauliflower', 'broccoli']"
329,344,"['vegetable', 'brassica', 'sprout']"
330,345,"['vegetable', 'brassica']"
331,347,"['vegetable', 'lactuca']"
332,348,"['vegetable', 'chicory', 'cichorium', 'intybus', 'var']"
333,349,"['vegetable', 'cichorium', 'spp']"
334,350,"['vegetable', 'root', 'carrot', 'turnip']"
335,351,"['vegetable', 'root', 'beetroot', 'radish', 'root']"
336,352,"['vegetable', 'cucumber', 'gherkin']"
337,353,"['vegetable', 'pea']"
338,354,"['vegetable', 'bean']"
339,355,"['vegetable', 'pea', 'bean']"
340,358,"['vegetable', 'celery', 'celeriac']"
341,359,"['vegetable', 'mushroom']"
342,360,"['vegetable', 'truffle']"
343,361,"['vegetable', 'mushroom', 'genus']"
344,362,"['vegetable', 'fruit', 'genus', 'capsicum', 'genus', 'pimenta']"
345,364,"['vegetable', 'chapter']"
346,365,"['vegetable', 'globe', 'artichoke']"
347,367,"['vegetable', 'pumpkin', 'gourd']"
348,368,"['vegetable', 'chapter']"
349,369,"['vegetable', 'potato', 'water']"
350,370,"['vegetable', 'pea', 'water']"
351,371,"['vegetable', 'bean', 'water']"
352,372,"['vegetable', 'pea', 'bean', 'water']"
353,373,"['vegetable', 'spinach', 'spinach', 'garden', 'spinach', 'water']"
354,374,"['vegetable', 'water']"
355,375,"['vegetable', 'water', 'chapter']"
356,376,"['mixture', 'water']"
357,377,"['vegetable', 'olive', 'state', 'consumption']"
358,378,"['vegetable', 'cucumber', 'gherkin', 'state', 'consumption']"
359,379,"['vegetable', 'mushroom', 'genus', 'state', 'consumption']"
360,380,"['vegetable', 'mushroom', 'genus', 'state', 'consumption']"
361,381,"['vegetable', 'vegetable', 'state', 'consumption']"
362,382,"['vegetable', 'onion', 'powder']"
363,383,"['vegetable', 'mushroom', 'truffle', 'powder']"
364,384,"['vegetable', 'wood', 'ear', 'powder']"
365,385,"['vegetable', 'fungus', 'powder']"
366,386,"['vegetable', 'mushroom', 'genus', 'truffle', 'powder']"
367,387,"['vegetable', 'mixture', 'vegetable', 'powder']"
368,388,"['vegetable', 'pea']"
369,390,"['vegetable', 'bean', 'specie', 'hepper']"
370,391,"['vegetable', 'bean', 'phaseolus']"
371,392,"['vegetable', 'kidney', 'bean', 'pea', 'bean', 'phaseolus', 'vulgaris']"
372,393,"['vegetable', 'bean', 'subterranea', 'subterranea']"
373,394,"['vegetable', 'unguiculata']"
374,395,"['vegetable', 'item']"
375,397,"['vegetable', 'bean', 'horse', 'bean']"
376,399,['vegetable']
377,405,"['root', 'tuber', 'salep', 'artichoke', 'root', 'tuber', 'starch', 'content', 'form', 'pellet']"
378,407,['coconut']
379,408,"['coconut', 'shell', 'endocarp']"
380,409,['coconut']
381,410,['nut']
382,411,['nut']
383,412,['nut']
384,413,['nut']
385,414,['nut']
386,415,['nut']
387,416,['almond']
388,417,['almond']
389,418,"['hazelnut', 'filbert', 'corylus']"
390,419,"['hazelnut', 'filbert', 'corylus']"
391,420,['walnut']
392,421,['walnut']
393,423,['chestnut']
394,424,['chestnut']
395,426,['pistachio']
396,427,['pistachio']
397,428,[]
398,429,[]
399,430,[]
400,432,['nut']
401,433,[]
402,436,"['fruit', 'banana', 'plantain']"
403,441,"['fruit', 'mango', 'mangosteen']"
404,442,"['fruit', 'orange']"
405,443,"['fruit', 'mandarin', 'tangerine', 'clementine', 'wilking', 'hybrid']"
406,445,"['fruit', 'lemon', 'limon', 'limonum', 'lime', 'aurantifolia']"
